,state,town,poverty,hs_completion,townstate,ZCTA,n_households,med_income,population,density,city,state_id,state_name,lat,lng,crime_rate
0,Alabama,Abbeville,20.7,79.1,"Abbeville, Alabama",36310,2555,40186,6055,12.2,Abbeville,AL,Alabama,31.60296,-85.2163,62.0
1,Alabama,Adamsville,16,83.5,"Adamsville, Alabama",35005,2792,50271,7528,89.3,Adamsville,AL,Alabama,33.59515,-87.00089,269.0
2,Alabama,Addison,34.2,85.1,"Addison, Alabama",35540,1075,45074,2436,12.6,Addison,AL,Alabama,34.23388,-87.18817,15.0
3,Alabama,Akron,48.7,62.8,"Akron, Alabama",35441,372,36731,1089,6.1,Akron,AL,Alabama,32.85374,-87.73861,
4,Alabama,Alabaster,11.1,88.8,"Alabaster, Alabama",35007,8628,69691,26328,270.8,Alabaster,AL,Alabama,33.21591,-86.79717,585.0
5,Alabama,Alabaster,11.1,88.8,"Alabaster, Alabama",35114,3022,80948,8624,223.3,Alabaster,AL,Alabama,33.22306,-86.87245,585.0
6,Alabama,Albertville,28.7,76.2,"Albertville, Alabama",35950,7255,38147,21556,180.4,Albertville,AL,Alabama,34.25261,-86.26201,750.0
7,Alabama,Albertville,28.7,76.2,"Albertville, Alabama",35951,4375,34483,12911,69.4,Albertville,AL,Alabama,34.34125,-86.16165,750.0
8,Alabama,Alexander City,27.6,81.0,"Alexander City, Alabama",35010,8142,36795,20625,36.9,Alexander City,AL,Alabama,32.91644,-85.9368,934.0
9,Alabama,Alexandria,6.1,87.3,"Alexandria, Alabama",36250,1820,68654,4958,100.7,Alexandria,AL,Alabama,33.76778,-85.89685,
10,Alabama,Aliceville,34.6,66.9,"Aliceville, Alabama",35442,1925,30917,6237,8.1,Aliceville,AL,Alabama,33.07371,-88.19359,29.0
11,Alabama,Allgood,27.3,47.9,"Allgood, Alabama",35013,18,36795,40,1654.4,Allgood,AL,Alabama,33.90169,-86.51787,
12,Alabama,Altoona,16.1,79.3,"Altoona, Alabama",35952,2640,39342,7482,27.2,Altoona,AL,Alabama,34.05283,-86.30823000000002,
13,Alabama,Andalusia,17.3,84.7,"Andalusia, Alabama",36420,4278,42726,10369,15.5,Andalusia,AL,Alabama,31.17685,-86.57649,561.0
14,Alabama,Andalusia,17.3,84.7,"Andalusia, Alabama",36421,3995,42988,9861,17.2,Andalusia,AL,Alabama,31.32473,-86.50656,561.0
15,Alabama,Anderson,16.1,79.7,"Anderson, Alabama",35610,812,40586,1702,18.0,Anderson,AL,Alabama,34.95098,-87.24209,9.0
16,Alabama,Anniston,29.5,81.9,"Anniston, Alabama",36201,7510,27266,18052,208.6,Anniston,AL,Alabama,33.65146,-85.8788,
17,Alabama,Anniston,29.5,81.9,"Anniston, Alabama",36205,159,66397,688,57.0,Anniston,AL,Alabama,33.71723,-85.79495,
18,Alabama,Anniston,29.5,81.9,"Anniston, Alabama",36206,4556,44882,11541,276.2,Anniston,AL,Alabama,33.73408,-85.81433,
19,Alabama,Anniston,29.5,81.9,"Anniston, Alabama",36207,8395,45458,19746,103.6,Anniston,AL,Alabama,33.68027,-85.71375,
20,Alabama,Arab,17.6,87.9,"Arab, Alabama",35016,6339,45435,16112,87.1,Arab,AL,Alabama,34.32333,-86.50143,581.0
21,Alabama,Ardmore,20.9,81.0,"Ardmore, Alabama",35739,2086,50315,5048,73.3,Ardmore,AL,Alabama,34.969,-86.79579,31.0
22,Alabama,Ariton,39.4,75.8,"Ariton, Alabama",36311,963,40598,2715,8.9,Ariton,AL,Alabama,31.60246,-85.6815,13.0
23,Alabama,Arley,35,77.6,"Arley, Alabama",35541,1448,44113,3390,20.7,Arley,AL,Alabama,34.08013,-87.18065,30.0
24,Alabama,Ashford,14.5,84.7,"Ashford, Alabama",36312,2309,40191,6030,31.0,Ashford,AL,Alabama,31.17088,-85.23739,35.0
25,Alabama,Ashland,24.6,74.4,"Ashland, Alabama",36251,2098,32769,4895,13.6,Ashland,AL,Alabama,33.229820000000004,-85.86641999999998,82.0
26,Alabama,Ashville,23.2,79.7,"Ashville, Alabama",35953,2841,44315,7522,24.8,Ashville,AL,Alabama,33.81243,-86.22612,37.0
27,Alabama,Athens,16.8,83.7,"Athens, Alabama",35611,10066,35651,25744,85.5,Athens,AL,Alabama,34.767109999999995,-87.08565,654.0
28,Alabama,Athens,16.8,83.7,"Athens, Alabama",35613,7249,74100,25577,103.1,Athens,AL,Alabama,34.82405,-86.87736,654.0
29,Alabama,Athens,16.8,83.7,"Athens, Alabama",35614,3049,37396,7638,45.3,Athens,AL,Alabama,34.86542,-87.08385,654.0
30,Alabama,Atmore,23.5,75.7,"Atmore, Alabama",36502,5964,34985,18192,21.6,Atmore,AL,Alabama,31.14072,-87.49393,506.0
31,Alabama,Attalla,11.5,86.4,"Attalla, Alabama",35954,4367,40022,11818,45.7,Attalla,AL,Alabama,34.088390000000004,-86.06009,140.0
32,Alabama,Auburn,29.4,93.6,"Auburn, Alabama",36830,15409,52422,39078,128.5,Auburn,AL,Alabama,32.5389,-85.49207,
33,Alabama,Auburn,29.4,93.6,"Auburn, Alabama",36832,9718,27367,24509,120.3,Auburn,AL,Alabama,32.59621,-85.58197,
34,Alabama,Autaugaville,25.1,62.8,"Autaugaville, Alabama",36003,839,29073,1898,8.2,Autaugaville,AL,Alabama,32.45322,-86.72385,20.0
35,Alabama,Axis,7.7,76.9,"Axis, Alabama",36505,669,49767,1965,26.5,Axis,AL,Alabama,30.94264,-88.01644,
36,Alabama,Baileyton,24.8,73.6,"Baileyton, Alabama",35019,810,31500,1991,27.3,Baileyton,AL,Alabama,34.29851,-86.63523,
37,Alabama,Banks,35.5,85.5,"Banks, Alabama",36005,551,45982,1640,4.2,Banks,AL,Alabama,31.88607,-85.72077,
38,Alabama,Bay Minette,25.6,81.6,"Bay Minette, Alabama",36507,6955,40099,22096,22.0,Bay Minette,AL,Alabama,30.863190000000003,-87.73904,302.0
39,Alabama,Bayou La Batre,31.6,60.2,"Bayou La Batre, Alabama",36509,622,31964,2076,117.1,Bayou La Batre,AL,Alabama,30.40205,-88.26156,325.0
40,Alabama,Bear Creek,24.1,79.9,"Bear Creek, Alabama",35543,545,29901,1285,11.7,Bear Creek,AL,Alabama,34.22419,-87.75005,26.0
41,Alabama,Beatrice,35.7,90.2,"Beatrice, Alabama",36425,443,20125,1127,2.6,Beatrice,AL,Alabama,31.75818,-87.1847,
