,ZCTA,n_households,med_income,population,density,city,state_id,state_name,lat,lng
0,601,5818,11757,17242,111.4,Adjuntas,PR,Puerto Rico,18.180039999999998,-66.75218000000001
1,602,12719,16190,38442,523.5,Aguada,PR,Puerto Rico,18.36073,-67.17517
2,603,19009,16645,48814,667.9,Aguadilla,PR,Puerto Rico,18.45439,-67.12201999999999
3,606,1959,13387,6437,60.4,Maricao,PR,Puerto Rico,18.16724,-66.93828
4,610,9120,18741,27073,312.0,Anasco,PR,Puerto Rico,18.29032,-67.12243000000001
5,612,23037,17744,60303,382.8,Arecibo,PR,Puerto Rico,18.40699,-66.70803000000001
6,616,3606,14918,10765,368.9,Bajadero,PR,Puerto Rico,18.41753,-66.66814000000001
7,617,8079,17157,23974,625.0,Barceloneta,PR,Puerto Rico,18.44124,-66.55917
8,622,2330,16727,6578,104.6,Boqueron,PR,Puerto Rico,17.99174,-67.15248000000001
9,623,14165,16401,42427,437.8,Cabo Rojo,PR,Puerto Rico,18.08355,-67.15417
10,624,7690,16832,22707,234.7,Penuelas,PR,Puerto Rico,18.06465,-66.71823
11,627,11571,17579,32222,292.8,Camuy,PR,Puerto Rico,18.419,-66.86033
12,631,615,9632,1568,177.8,Castaner,PR,Puerto Rico,18.18555,-66.83327
13,637,7568,15736,22975,283.4,Sabana Grande,PR,Puerto Rico,18.07982,-66.94274
14,638,6033,14448,16701,110.7,Ciales,PR,Puerto Rico,18.28904,-66.5151
15,641,9104,16292,27571,128.8,Utuado,PR,Puerto Rico,18.26408,-66.71376
16,646,12075,29160,37494,711.6,Dorado,PR,Puerto Rico,18.43401,-66.2833
17,647,1866,13071,5643,156.7,Ensenada,PR,Puerto Rico,17.96612,-66.94383
18,650,5051,16095,14760,189.7,Florida,PR,Puerto Rico,18.34321,-66.58601
19,652,1335,20564,3697,263.2,Garrochales,PR,Puerto Rico,18.45542,-66.60635
20,653,3662,12236,11140,337.1,Guanica,PR,Puerto Rico,17.98574,-66.89033
21,656,6566,14966,18979,255.9,Guayanilla,PR,Puerto Rico,18.0528,-66.79182
22,659,14443,17770,40390,387.7,Hatillo,PR,Puerto Rico,18.41069,-66.79648
23,660,6271,19674,16180,587.0,Hormigueros,PR,Puerto Rico,18.134179999999997,-67.11402
24,662,14482,16771,40290,376.6,Isabela,PR,Puerto Rico,18.46208,-67.01445
25,664,4850,15401,14991,142.4,Jayuya,PR,Puerto Rico,18.21152,-66.5889
26,667,8153,13843,23590,166.2,Lajas,PR,Puerto Rico,18.01227,-67.04089
27,669,9727,12996,25653,186.6,Lares,PR,Puerto Rico,18.27102,-66.86981999999999
28,670,3006,14456,8498,83.1,Las Marias,PR,Puerto Rico,18.23777,-66.98877
29,674,15726,18032,39859,381.8,Manati,PR,Puerto Rico,18.421229999999998,-66.49004000000001
30,676,13035,13416,36995,308.6,Moca,PR,Puerto Rico,18.3779,-67.08083
31,677,5092,18333,14311,411.2,Rincon,PR,Puerto Rico,18.3357,-67.23168000000001
32,678,9179,15730,26091,407.5,Quebradillas,PR,Puerto Rico,18.43269,-66.92811999999999
33,680,18602,14500,46395,349.6,Mayaguez,PR,Puerto Rico,18.16327,-67.36195
34,682,11718,15315,32359,874.3,Mayaguez,PR,Puerto Rico,18.22117,-67.1538
35,683,11368,15043,30424,249.9,San German,PR,Puerto Rico,18.10998,-67.0373
36,685,14338,14128,38039,213.3,San Sebastian,PR,Puerto Rico,18.33625,-66.97225
37,687,10129,18739,31320,323.9,Morovis,PR,Puerto Rico,18.317079999999997,-66.4203
38,688,4244,15918,12202,164.3,Sabana Hoyos,PR,Puerto Rico,18.38056,-66.62425
39,690,2313,18491,5352,857.7,San Antonio,PR,Puerto Rico,18.49567,-67.09825
40,692,11756,18076,35840,541.2,Vega Alta,PR,Puerto Rico,18.40845,-66.33691
41,693,18246,18971,54428,599.3,Vega Baja,PR,Puerto Rico,18.42132,-66.40012
42,694,46,14375,69,158.4,Vega Baja,PR,Puerto Rico,18.48329,-66.39260999999999
43,698,10713,14487,36312,231.7,Yauco,PR,Puerto Rico,18.06728,-66.85273000000001
44,703,8642,16532,26320,372.2,Aguas Buenas,PR,Puerto Rico,18.24841,-66.13119
