GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
1620000US3600199,3600199,"Adams village, New York",1775,1784,1791,1815,1852,1829,1826,1810,1756,1760,1741
1620000US3600276,3600276,"Addison village, New York",1763,1763,1762,1760,1745,1737,1724,1709,1696,1682,1666
1620000US3600342,3600342,"Afton village, New York",822,835,833,831,827,821,819,813,808,801,800
1620000US3600408,3600408,"Airmont village, New York",8628,8625,8644,8716,8742,8784,8799,8792,8771,8781,8771
1620000US3600441,3600441,"Akron village, New York",2868,2888,2887,2878,2876,2879,2877,2865,2860,2853,2855
1620000US3601000,3601000,"Albany city, New York",97856,97841,97744,97940,98399,98487,98370,98234,97939,97726,97279
1620000US3601033,3601033,"Albion village, New York",6056,6073,6074,5979,5949,6058,6052,5981,5943,5859,5831
1620000US3601088,3601088,"Alden village, New York",2605,2605,2604,2598,2610,2607,2597,2584,2568,2565,2564
1620000US3601154,3601154,"Alexander village, New York",509,509,511,510,508,502,498,500,497,497,493
1620000US3601187,3601187,"Alexandria Bay village, New York",1078,1075,1073,1087,1110,1095,1094,1085,1053,1054,1044
1620000US3601198,3601198,"Alfred village, New York",4174,4175,4176,4123,4050,4028,4062,4065,4072,4011,4008
1620000US3601286,3601286,"Allegany village, New York",1816,1805,1802,1789,1775,1765,1754,1735,1727,1712,1717
1620000US3601440,3601440,"Almond village, New York",466,466,466,464,460,457,454,450,446,441,440
1620000US3601517,3601517,"Altamont village, New York",1720,1715,1713,1714,1713,1712,1709,1700,1706,1695,1683
1620000US3601737,3601737,"Ames village, New York",145,145,145,143,142,141,141,140,140,139,140
1620000US3602044,3602044,"Amityville village, New York",9523,9500,9509,9527,9509,9492,9464,9422,9495,9460,9439
1620000US3602066,3602066,"Amsterdam city, New York",18620,18604,18611,18367,18243,18104,18062,17985,17848,17814,17864
1620000US3602143,3602143,"Andover village, New York",1042,1041,1042,1037,1028,1022,1014,1005,998,991,984
1620000US3602176,3602176,"Angelica village, New York",869,869,870,865,856,851,845,838,831,830,824
1620000US3602198,3602198,"Angola village, New York",2127,2136,2135,2133,2133,2132,2128,2120,2111,2107,2107
1620000US3602286,3602286,"Antwerp village, New York",686,674,676,685,699,691,688,683,663,665,658
1620000US3602407,3602407,"Arcade village, New York",2071,2063,2059,2042,2033,2011,1987,1975,1957,1955,1947
1620000US3602506,3602506,"Ardsley village, New York",4452,4408,4414,4444,4451,4474,4482,4547,4560,4535,4524
1620000US3602550,3602550,"Argyle village, New York",306,302,302,302,300,300,298,298,295,295,293
1620000US3602583,3602583,"Arkport village, New York",844,845,845,845,838,832,826,817,811,804,797
1620000US3602737,3602737,"Asharoken village, New York",654,654,657,660,657,656,654,654,651,647,645
1620000US3602902,3602902,"Athens village, New York",1668,1675,1671,1659,1646,1634,1620,1620,1611,1606,1603
1620000US3602968,3602968,"Atlantic Beach village, New York",1891,1888,1890,1897,1902,1904,1905,1905,1904,1905,1907
1620000US3603001,3603001,"Attica village, New York",2547,2537,2540,2521,2516,2495,2470,2458,2435,2436,2425
1620000US3603078,3603078,"Auburn city, New York",27687,27688,27663,27542,27349,27167,27052,26994,26744,26622,26454
1620000US3603188,3603188,"Aurora village, New York",724,724,724,695,778,703,724,760,719,690,690
1620000US3603331,3603331,"Avoca village, New York",946,947,947,949,939,936,927,921,912,905,899
1620000US3603353,3603353,"Avon village, New York",3394,3376,3370,3355,3344,3318,3307,3293,3268,3245,3219
1620000US3603408,3603408,"Babylon village, New York",12166,12157,12172,12196,12170,12160,12140,12118,12076,12061,12040
1620000US3604033,3604033,"Bainbridge village, New York",1355,1365,1361,1357,1352,1343,1339,1326,1320,1310,1306
1620000US3604198,3604198,"Baldwinsville village, New York",7378,7205,7210,7205,7280,7292,7289,7354,7474,7752,7847
1620000US3604253,3604253,"Ballston Spa village, New York",5409,5428,5433,5436,5434,5425,5398,5401,5347,5298,5276
1620000US3604440,3604440,"Barker village, New York",533,533,533,530,526,522,519,516,515,512,508
1620000US3604715,3604715,"Batavia city, New York",15465,15395,15347,15313,15229,15056,14931,14836,14662,14585,14491
1620000US3604759,3604759,"Bath village, New York",5786,5789,5787,5794,5726,5705,5666,5613,5571,5526,5483
1620000US3604803,3604803,"Baxter Estates village, New York",999,1047,1048,1051,1050,1057,1058,1057,1056,1054,1052
1620000US3605034,3605034,"Bayville village, New York",6669,6668,6676,6700,6713,6718,6722,6722,6715,6712,6744
1620000US3605100,3605100,"Beacon city, New York",15541,14604,14633,14546,14443,14270,14159,14275,14171,14224,14523
1620000US3605639,3605639,"Bellerose village, New York",1193,1166,1168,1171,1173,1171,1172,1171,1170,1170,1165
1620000US3605672,3605672,"Belle Terre village, New York",792,790,791,795,796,798,796,793,787,789,787
1620000US3605771,3605771,"Bellport village, New York",2084,2084,2085,2092,2088,2088,2082,2076,2071,2061,2056
1620000US3605815,3605815,"Belmont village, New York",969,969,970,965,953,948,940,932,923,917,911
1620000US3605848,3605848,"Bemus Point village, New York",364,367,374,372,369,367,363,359,355,353,351
1620000US3606046,3606046,"Bergen village, New York",1176,1160,1158,1153,1148,1136,1127,1120,1105,1097,1090
1620000US3606607,3606607,"Binghamton city, New York",47376,47406,47349,46986,46754,46508,46279,45907,45491,45020,44785
1620000US3606794,3606794,"Black River village, New York",1348,1350,1357,1373,1402,1377,1355,1323,1283,1281,1264
1620000US3606849,3606849,"Blasdell village, New York",2553,2583,2584,2590,2607,2616,2622,2621,2622,2639,2656
1620000US3606945,3606945,"Bloomfield village, New York",1361,1365,1358,1354,1347,1344,1339,1331,1321,1312,1308
1620000US3606959,3606959,"Bloomingburg village, New York",420,425,424,422,422,426,423,417,415,414,413
1620000US3607190,3607190,"Bolivar village, New York",1047,1047,1048,1043,1030,1024,1016,1007,999,993,984
1620000US3607355,3607355,"Boonville village, New York",2072,2053,2049,2046,2047,2037,2029,2008,2000,2012,2001
