,townstate,poverty,med_income,hs_completion,n_households,population,density,crime_rate,property_crime,violent_crime,students_per_teacher,gini,lat,lng,unemployment_rate,home_price,crime_rate_pc,vcrime_rate_pc,pcrime_rate_pc,people_per_household,state
0,"Abbeville, Alabama",20.7,40186.0,79.1,2555,6055,12.2,62.0,51.0,11.0,13.0,0.4613498953178414,31.602959999999996,-85.2163,4.587610195477113,86264.0,0.010239471511147812,0.0018166804293971925,0.008422791081750619,2.3698630136986303,Alabama
1,"Abbeville, Louisiana",31.5,47483.0,70.7,9292,25897,42.4,591.0,474.0,117.0,14.875,0.4613498953178414,29.89813,-92.19967,4.587610195477113,129370.0,0.022821176198015214,0.0045178978260030115,0.0183032783720122,2.787021093413689,Louisiana
2,"Abbeville, South Carolina",39.9,34292.0,75.3,4925,13006,19.9,229.0,199.0,30.0,14.6,0.4613498953178414,34.17875,-82.42871,4.587610195477113,128638.0,0.01760725818852837,0.0023066277102875596,0.015300630478240812,2.640812182741117,South Carolina
3,"Aberdeen, Idaho",13.8,43793.0,61.3,1127,3533,5.0,22.0,21.0,1.0,20.0,0.4613498953178414,43.01939,-112.86185,4.587610195477113,128794.0,0.006227002547410133,0.0002830455703368242,0.005943956977073309,3.134871339840284,Idaho
4,"Aberdeen, Maryland",17.2,60489.0,88.0,9538,24453,277.6,330.0,251.0,79.0,12.285714285714285,0.4107,39.51075,-76.20061,3.7,213991.0,0.01349527665317139,0.003230687441213757,0.010264589211957633,2.5637450199203187,Maryland
5,"Aberdeen, Mississippi",21.6,37457.0,79.0,4350,11197,18.1,169.0,151.0,18.0,14.0,0.4613498953178414,33.84179,-88.56421,4.587610195477113,83748.0,0.01509332857015272,0.0016075734571760294,0.01348575511297669,2.5740229885057473,Mississippi
6,"Aberdeen, North Carolina",13.1,49591.0,91.6,4885,13700,70.6,314.0,289.0,25.0,15.25,0.4661,35.1165,-79.43685,2.9,162230.0,0.02291970802919708,0.0018248175182481751,0.021094890510948906,2.804503582395087,North Carolina
7,"Aberdeen, South Dakota",13.7,52059.0,91.0,13806,32900,39.9,755.0,621.0,134.0,17.25,0.4613498953178414,45.47648,-98.52750999999999,4.587610195477113,166684.0,0.022948328267477204,0.004072948328267477,0.018875379939209725,2.3830218745472984,South Dakota
8,"Aberdeen, Washington",23.3,44645.0,85.7,8127,24116,38.5,785.0,711.0,74.0,17.88888888888889,0.4558,47.043479999999995,-123.80637,3.6,139823.0,0.032551003483164705,0.0030685022391773098,0.029482501243987394,2.9673926418112466,Washington
9,"Abernathy, Texas",17.3,50750.0,76.4,1297,3541,7.7,60.0,57.0,3.0,11.333333333333336,0.4829,33.86075,-101.88301,2.7,92255.0,0.016944365998305563,0.0008472182999152782,0.016097147698390286,2.730146491904395,Texas
